dataset,model,seed,alpha,score,axis,method,target_coverage,marginal_coverage,mean_set_size,coverage_gap,worst_group_coverage,set_size_disparity
ACSPublicCoverage-CA,tabpfn,3,0.2,lac,age,marginal,0.8,0.80875,1.1904166666666667,0.027463556209478823,0.799554565701559,0.08535226281616426
ACSPublicCoverage-CA,tabpfn,3,0.2,lac,race,marginal,0.8,0.80875,1.1904166666666667,0.07396560958100207,0.7480314960629921,0.1333759769509455
ACSPublicCoverage-CA,tabpfn,3,0.2,lac,predclass,mondrian,0.8,0.8125,1.1941666666666666,0.044571428571428595,0.78,0.07762637362637381
ACSPublicCoverage-CA,tabpfn,3,0.2,lac,sex,mondrian,0.8,0.8083333333333333,1.1879166666666667,0.00472171814161626,0.8056872037914692,0.0452404024031432
ACSPublicCoverage-CA,tabpfn,3,0.2,lac,age,mondrian,0.8,0.8075,1.18875,0.07654264378357134,0.7616926503340757,0.1801183666430619
ACSPublicCoverage-CA,tabpfn,3,0.2,lac,race,mondrian,0.8,0.8095833333333333,1.18625,0.0632827010950694,0.7637795275590551,0.054599633077703214
ACSPublicCoverage-CA,tabpfn,3,0.2,aps,predclass,marginal,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.2,aps,sex,marginal,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.2,aps,age,marginal,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.2,aps,race,marginal,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.2,aps,predclass,mondrian,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.2,aps,sex,mondrian,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.2,aps,age,mondrian,0.8,1.0,2.0,0.0,1.0,0.0
ACSPublicCoverage-CA,tabpfn,3,0.2,aps,race,mondrian,0.8,1.0,2.0,0.0,1.0,0.0
